QID158_Answer1,"Strongly agree","Totalmente de acuerdo","Concordo totalmente","強くそう思う","非常同意","Tout à fait d'accord"
QID158_Answer2,"Agree","Mayormente de acuerdo","Concordo em grande parte","ほとんどそう思う","基本同意","Plutôt d'accord"
QID158_Answer3,"Somewhat agree","Algo de acuerdo","Concordo um pouco","ややそう思う","有点同意","Un peu d'accord"
QID158_Answer4,"Neither agree nor disagree","Ni de acuerdo ni en desacuerdo","Nem concordo nem discordo","どちらともいえない","既不同意也不反对","Ni en accord ni en désaccord"
QID158_Answer5,"Somewhat disagree","Algo en desacuerdo","Discordo um pouco","ややそう思わない","有点不同意","Un peu en désaccord"
QID158_Answer6,"Disagree","Mayormente en desacuerdo","Discordo em grande parte","ほとんどそう思わない","基本不同意","Plutôt en désaccord"
QID158_Answer7,"Strongly disagree","Totalmente en desacuerdo","Discordo totalmente","強くそう思わない","非常不同意","Fortement en désaccord"
QID158_Answer8,"I don't know or NA","No lo sé o no aplica","Não sei ou Não Aplica","分からない","我不知道或不适用","Je ne sais pas ou n/c"
QID158_Choice1,"Our software is in a deployable state throughout its lifecycle.","Nuestro software está listo para ser desplegado durante todo su ciclo de vida.","Nosso software está em um estado implementável durante todo o seu ciclo de vida.","私たちのソフトウェアは、ライフサイクル全体を通してデプロイ可能な状態が維持されている。","我们的软件在整个生命周期都处于可部署状态。","Notre logiciel est déployable tout au long de son cycle de vie."
QID158_Choice7,"A failing test will stop the team from deploying the system.","Una prueba fallida detendrá la implementación del sistema.","Uma falha no teste impedirá a equipe de implantar o sistema.","テストに失敗すると、チームはシステムのデプロイを中止する。","测试失败将阻止团队部署系统。","Un test qui échoue empêchera l’équipe de déployer le système."
QID158_Choice8,"We can deploy our system to production, or to end users, at any time, on demand.","Podemos desplegar nuestro sistema en producción o para usuarios finales en cualquier momento, a demanda.","Podemos implantar nosso sistema na produção ou para usuários finais, a qualquer momento, sob demanda.","いつでもオンデマンドで、システムを本番稼動やエンドユーザーにデプロイすることができる。","我们可以随时按需将系统部署到生产环境或终端用户。","Nous pouvons déployer notre système en production, ou auprès des utilisateurs finaux, à tout moment, à la demande."
QID158_QuestionText,"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
QID159_Answer1,"Strongly agree","Totalmente de acuerdo","Concordo totalmente","強くそう思う","非常同意","Tout à fait d'accord"
QID159_Answer2,"Agree","Mayormente de acuerdo","Concordo em grande parte","ほとんどそう思う","基本同意","Plutôt d'accord"
QID159_Answer3,"Somewhat agree","Algo de acuerdo","Concordo um pouco","ややそう思う","有点同意","Un peu d'accord"
QID159_Answer4,"Neither agree nor disagree","Ni de acuerdo ni en desacuerdo","Nem concordo nem discordo","どちらともいえない","既不同意也不反对","Ni en accord ni en désaccord"
QID159_Answer5,"Somewhat disagree","Algo en desacuerdo","Discordo um pouco","ややそう思わない","有点不同意","Un peu en désaccord"
QID159_Answer6,"Disagree","Mayormente en desacuerdo","Discordo em grande parte","ほとんどそう思わない","基本不同意","Plutôt en désaccord"
QID159_Answer7,"Strongly disagree","Totalmente en desacuerdo","Discordo totalmente","強くそう思わない","非常不同意","Fortement en désaccord"
QID159_Answer8,"I don't know or NA","No lo sé o no aplica","Não sei ou Não Aplica","分からない","我不知道或不适用","Je ne sais pas ou n/c"
