QID158_Answer1,Strongly agree
QID158_Answer2,Agree
QID158_Answer3,Somewhat agree
QID158_Answer4,Neither agree nor disagree
QID158_Answer5,Somewhat disagree
QID158_Answer6,Disagree
QID158_Answer7,Strongly disagree
QID158_Answer8,I don't know or NA
QID158_Choice1,Our software is in a deployable state throughout its lifecycle.
QID158_Choice7,A failing test will stop the team from deploying the system.
QID158_Choice8,"We can deploy our system to production, or to end users, at any time, on demand."
QID158_QuestionText,&nbsp;
QID159_Answer1,Strongly agree
QID159_Answer2,Agree
QID159_Answer3,Somewhat agree
QID159_Answer4,Neither agree nor disagree
QID159_Answer5,Somewhat disagree
QID159_Answer6,Disagree
QID159_Answer7,Strongly disagree
QID159_Answer8,I don't know or NA
QID159_Choice1,Code commits result in an automated build of the software.
QID159_Choice10,The application is built and tested automatically at least daily.
QID159_QuestionText,"Think about&nbsp;<b>building and deploying software</b> at work. For the <b>primary application or service</b> you work on, please rate how strongly you agree or disagree with the following statements."
QID163_Choice1,More than six months
QID163_Choice10,We do not do code reviews
QID163_Choice4,Between one month and six months
QID163_Choice5,Between one week and one month
QID163_Choice6,Between one day and one week
QID163_Choice7,Less than one day
QID163_Choice8,Less than one hour
QID163_Choice9,I don’t know
QID163_QuestionText,"For the <b>primary application or service</b> you work on, how long does it generally take to complete the <b>code review</b> process?"
QID170_Answer1,Performed well above goals
QID170_Answer10,I don't know or NA
QID170_Answer4,Performed above goals
QID170_Answer5,Performed slightly above goals
QID170_Answer6,Met goals
QID170_Answer7,Performed slightly below goals
QID170_Answer8,Performed below goals
QID170_Answer9,Performed well below goals
QID170_Choice1,Your organization’s overall performance
QID170_Choice4,Your organization’s overall profitability
QID170_Choice5,Relative market share for primary products
QID170_Choice6,Increased number of customers
QID170_QuestionText,"For each of the following performance indicators, how well did your <b>organization</b> meet its goals over the past year?"
QID171_Answer1,Performed well above goals
QID171_Answer10,I don't know or NA
QID171_Answer4,Performed above goals
QID171_Answer5,Performed slightly above goals
QID171_Answer6,Met goals
QID171_Answer7,Performed slightly below goals
QID171_Answer8,Performed below goals
QID171_Answer9,Performed well below goals
QID171_Choice10,Achievement of organizational and mission goals
QID171_Choice7,Operating efficiency
QID171_Choice8,Customer satisfaction
QID171_Choice9,Quality of products or services provided
QID171_QuestionText,"For each of the following performance indicators, how well did your <b>organization</b> meet its goals over the <b>past year</b>?"
QID178_Answer1,Strongly agree
QID178_Answer2,Mostly agree
QID178_Answer3,Slightly agree
QID178_Answer4,Neither agree nor disagree
QID178_Answer5,Slightly disagree
QID178_Answer6,Mostly disagree
QID178_Answer7,Strongly disagree
QID178_Answer8,I don't know or NA
QID178_Choice1,"Once I have access, I can independently provision and configure resources (compute, storage, etc.) and capabilities (APIs, monitoring, etc.) on demand, without raising tickets or requiring human interaction."
QID178_Choice4,"I can access and modify resources (compute, storage, etc.) and capabilities (APIs, monitoring, etc.) from a broad range of devices over the network without the need for proprietary plug-ins or protocols."
QID178_Choice5,Computing resources are pooled and shared by multiple applications with resources and capabilities dynamically assigned and re-assigned based on demand.
QID178_Choice6,I can dynamically increase or decrease the resources available for the service or product that I primarily support on demand.
QID178_Choice7,I can monitor or control the quantity and/or cost of resources used by the service or product that I primarily support.
QID178_QuestionText,Think about the <b>infrastructure or platform</b> where the<b> primary application or service&nbsp;</b>your work on runs.  Please rate the extent you agree or disagree with the following statements:
QID179_Choice1,More than six months
QID179_Choice4,Between one month and six months
QID179_Choice5,Between one week and one month
QID179_Choice6,Between one day and one week
QID179_Choice7,Less than one day
QID179_Choice8,Less than one hour
QID179_Choice9,I don’t know or NA
QID179_QuestionText,"For the <b>primary application or service</b> you work on, what is your lead time for changes (i.e., how long does it take to go from code committed to code successfully running in production)?"
QID182_Choice1,First Click
QID182_Choice2,Last Click
QID182_Choice3,Page Submit
QID182_Choice4,Click Count
QID182_QuestionText,Timing
QID184_Answer1,Strongly agree
QID184_Answer2,Agree
QID184_Answer3,Slightly agree
QID184_Answer4,Neither agree nor disagree
QID184_Answer5,Slightly disagree
QID184_Answer6,Disagree
QID184_Answer7,Strongly disagree
QID184_Answer8,I don't know or NA
QID184_Choice11,We were able to rely on each other.
QID184_Choice14,We were able to adapt to change.
QID184_Choice4,We were able to effectively collaborate with each other.
QID184_Choice7,We delivered innovative solutions.
QID184_Choice8,We worked efficiently.
QID184_QuestionText,To what extent do you agree or disagree with the following statements about how <b>your team</b> performed over the <b>last year</b>?
QID186_Choice1,First Click
QID186_Choice2,Last Click
QID186_Choice3,Page Submit
QID186_Choice4,Click Count
QID186_QuestionText,Timing
QID189_Choice1,First Click
QID189_Choice2,Last Click
QID189_Choice3,Page Submit
QID189_Choice4,Click Count
QID189_QuestionText,Timing
