QID298_Answer1,Strongly disagree
QID298_Answer2,Disagree
QID298_Answer3,Somewhat disagree
QID298_Answer4,Neither agree nor disagree
QID298_Answer5,Somewhat agree
QID298_Answer6,Agree
QID298_Answer7,Strongly agree
QID298_Answer8,I don't know or NA
QID298_Choice1,I feel burned out from my work.
QID298_Choice4,I feel like I am ineffective in my work.
QID298_Choice5,My feelings about work negatively affect my life outside of work.
QID298_Choice9,I am indifferent or cynical about my work.
QID298_QuestionText, Please rate how strongly you agree or disagree with the following statements:
QID301_Answer1,Strongly agree
QID301_Answer10,I don't know or NA
QID301_Answer4,Mostly agree
QID301_Answer5,Somewhat agree
QID301_Answer6,Neither agree nor disagree
QID301_Answer7,Somewhat disagree
QID301_Answer8,Mostly disagree
QID301_Answer9,Strongly disagree
QID301_Choice1,Code deployments are not at all disruptive.
QID301_Choice5,Code deployments are relatively easy and pain-free.
QID301_QuestionText,"For the primary application or service you work on, to what extent do you agree or disagree with the following statements?"
QID302_Answer1,Strongly agree
QID302_Answer10,I don't know or NA
QID302_Answer4,Mostly agree
QID302_Answer5,Somewhat agree
QID302_Answer6,Neither agree nor disagree
QID302_Answer7,Somewhat disagree
QID302_Answer8,Mostly disagree
QID302_Answer9,Strongly disagree
QID302_Choice1,I can acquire test data for my automated test suite on demand.
QID302_Choice6,My team has adequate test data to run our full automated test suite.
QID302_QuestionText,
QID303_Choice4,&nbsp
QID303_Label1,0%
QID303_Label2,100%
QID303_LabelNA,I don't know or NA
QID303_QuestionText,"For the primary application or service you work on, what percentage of your deployments are fully automated?"
QID304_Answer1,Strongly agree
QID304_Answer10,I don't know or NA
QID304_Answer4,Mostly agree
QID304_Answer5,Somewhat agree
QID304_Answer6,Neither agree nor disagree
QID304_Answer7,Somewhat disagree
QID304_Answer8,Mostly disagree
QID304_Answer9,Strongly disagree
QID304_Choice1,Our features are decomposed in a way that allows a developer to complete the work in a week or less.
QID304_Choice8,Our features are decomposed in a way that enables frequent production releases.
QID304_QuestionText,
QID306_Answer1,Never
QID306_Answer4,Rarely
QID306_Answer5,Sometimes
QID306_Answer6,Often
QID306_Answer7,Always
QID306_Answer8,I don't know or NA
QID306_Choice1,My development environment (your code editor or IDE)
QID306_Choice4,"Internal web interfaces (for example, internal websites, portals, and documentation)"
QID306_Choice5,"External web interfaces (for example, external websites and documentation)"
QID306_Choice6,"Conversational AI interfaces (for example, chatbots in my IDE or on websites)"
QID306_Choice7,"As an automated part of our tool chain (for example, our integration, build, or test services)"
QID306_Choice8,"Within other tools and platforms I use for development, excluding my IDE"
QID306_Choice9,Other
QID308_Choice1,Extremely satisfied
QID308_Choice10,I don’t know or NA
QID308_Choice4,Satisfied
QID308_Choice5,Slightly satisfied
QID308_Choice6,Neither satisfied or dissatisfied
QID308_Choice7,Slightly dissatisfied
QID308_Choice8,Dissatisfied
QID308_Choice9,Extremely dissatisfied
QID308_QuestionText,"In the last 6 months, how satisfied or dissatisfied have you been with the quality of code underlying your primary service or application?"
QID312_Choice1,JavaScript
QID312_Choice10,C#
QID312_Choice11,C++
QID312_Choice12,PHP
QID312_Choice13,C
QID312_Choice14,Go
QID312_Choice15,PowerShell
QID312_Choice16,Rust
QID312_Choice17,Kotlin
QID312_Choice18,Ruby
QID312_Choice19,Dart
QID312_Choice20,Lua
QID312_Choice21,Swift
QID312_Choice22,Assembly
QID312_Choice23,HashiCorp Configuration Language (HCL)
QID312_Choice24,Other
QID312_Choice25,I don't code
QID312_Choice4,HTML/CSS
QID312_Choice5,SQL
QID312_Choice6,Python
QID312_Choice7,TypeScript
QID312_Choice8,Bash/Shell (all shells)
QID312_Choice9,Java
QID312_QuestionText,Which are the top 3 programming languages that you use at work? Pick up to 3.
QID314_Choice1,Strongly agree
QID314_Choice10,Somewhat disagree
QID314_Choice11,Mostly disagree
QID314_Choice12,Strongly disagree
QID314_Choice13,I don't know or NA
QID314_Choice7,Mostly agree
QID314_Choice8,Somewhat agree
QID314_Choice9,Neither agree nor disagree
QID314_QuestionText,"To what extent do you agree or disagree with the following statement about AI?""I trust my organization to be transparent with how they plan on using AI."""
QID315_Answer10,Somewhat negative impact
QID315_Answer11,No impact
QID315_Answer12,Somewhat positive impact
QID315_Answer13,Extremely positive impact
QID315_Answer14,I don't know
QID315_Answer9,Extremely negative impact
QID315_Choice1,The speed and stability of the software delivery process
QID315_Choice2,The performance of your organization
QID315_Choice3,Society as a whole
QID315_Choice4,The quality of your product
QID315_Choice5,"The environment (for example, ecosystems and climate)"
QID315_Choice8,Your career
QID315_QuestionText,"When you think about the following areas, what kind of impact do you think AI will have within the next year."
QID320_Choice1,I don’t know or NA
QID320_Choice4,Not at all hindered
QID320_Choice5,Slightly hindered
QID320_Choice6,Moderately hindered
