Original sheet order, ,Heading,Description,Question,Options
161,process_arch_lc_2,Architecture,"Think about how your team and work are structured. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.","My team can deploy and release our product or service on demand, independently of other services it depends upon",
162,process_arch_lc_1,Architecture,"Think about how your team and work are structured. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.","On my team, we can make large-scale changes to the design of our system without creating significant work for other teams",
158,process_arch_lc_5,Architecture,"Think about how your team and work are structured. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.","On my team, we can make large-scale changes to the design of our system without depending on other teams to make changes in their systems",
159,process_arch_lc_4,Architecture,"Think about how your team and work are structured. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.","On my team, we perform deployments during normal business hours with negligible downtime",
160,process_arch_lc_3,Architecture,"Think about how your team and work are structured. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.","We can do most of our testing on demand, without requiring an integrated test environment",
182,process_ai_role_9,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Analyzing data,
183,process_ai_role_8,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Analyzing logs,
184,process_ai_role_7,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Analyzing security,
185,process_ai_role_6,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Collaborating with teammates,
186,process_ai_role_5,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Identifying bugs,
187,process_ai_role_4,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?","Learning new skills  (for example, a new programming language)",
188,process_ai_role_3,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Making decisions,
189,process_ai_role_2,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?","Managing my coding environment (for example, helps me organize files, libraries, classes, functions, dependencies)",
190,process_ai_role_19,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?","Managing projects (for example, managing deliverables and deadlines)",
191,process_ai_role_18,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Monitoring logs,
192,process_ai_role_17,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?","Optimizing code (for example, reducing the complexity of a function)",
193,process_ai_role_16,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Organizing user feedback,
194,process_ai_role_15,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Recovering from incidents,
195,process_ai_role_14,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Responding to incidents,
196,process_ai_role_13,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Scaling running services,
197,process_ai_role_12,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Solving file path issues,
198,process_ai_role_11,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?","Writing code blocks or functions (for example, auto-completion, auto-generation or auto-formatting)",
199,process_ai_role_10,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Writing documentation,
200,process_ai_role_1,Artificial Intelligence,"For the primary application or service you work on, how important is the role of Artificial Intelligence (AI) in contributing to each of the following tasks today?",Writing tests,
248,io_burnout_3,Burnout,"Sustainability of work is important, and burnout is an important indicator of this. Please answer a few questions about how your work has affected you. Please rate how strongly you agree or disagree with the following statements:",I am indifferent or cynical about my work,
250,io_burnout_1,Burnout,"Sustainability of work is important, and burnout is an important indicator of this. Please answer a few questions about how your work has affected you. Please rate how strongly you agree or disagree with the following statements:",I feel burned out from my work,
249,io_burnout_2,Burnout,"Sustainability of work is important, and burnout is an important indicator of this. Please answer a few questions about how your work has affected you. Please rate how strongly you agree or disagree with the following statements:",I feel exhausted,
247,io_burnout_4,Burnout,"Sustainability of work is important, and burnout is an important indicator of this. Please answer a few questions about how your work has affected you. Please rate how strongly you agree or disagree with the following statements:",I feel like I am ineffective in my work,
246,io_burnout_5,Burnout,"Sustainability of work is important, and burnout is an important indicator of this. Please answer a few questions about how your work has affected you. Please rate how strongly you agree or disagree with the following statements:","Sustainability of work is important, and burnout is an important indicator of this. Please answer a few questions about how your work has affected you. Please rate how strongly you agree or disagree with the following statements:",
364,cloud_7,Cloud,,"The application or service that I primarily work on runs on...   Select all that apply.|hybrid cloud,multiple public clouds,on prem,other,private cloud,public cloud,server under desk",
135,process_code_review,Code Review,,"For the primary application or service you work on, how long does it generally take to complete the code review process?",
148,process_cd_5,Continuous Delivery,"For the primary application or service you work on, please rate how strongly you agree or disagree with each of the following statements",A failing test will stop the team from deploying the system,
150,process_cd_3,Continuous Delivery,"For the primary application or service you work on, please rate how strongly you agree or disagree with each of the following statements",Fast feedback on the deployability of the system is available to anyone on the team,
151,process_cd_2,Continuous Delivery,"For the primary application or service you work on, please rate how strongly you agree or disagree with each of the following statements",My team prioritizes keeping the software deployable over working on new features,
152,process_cd_1,Continuous Delivery,"For the primary application or service you work on, please rate how strongly you agree or disagree with each of the following statements",Our software is in a deployable state throughout its lifecycle,
147,process_cd_6,Continuous Delivery,"For the primary application or service you work on, please rate how strongly you agree or disagree with each of the following statements","We can deploy our system to production, or to end users, at any time, on demand",
149,process_cd_4,Continuous Delivery,"For the primary application or service you work on, please rate how strongly you agree or disagree with each of the following statements","When people get feedback that the system is not deployable (such as failing builds or tests), they make fixing these issues their highest priority",
136,process_ci_5,Continuous Integration,"Think about committing code and building software at work. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.",Automated test failures will block a commit’s progress through the pipeline,
137,process_ci_4,Continuous Integration,"Think about committing code and building software at work. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.",Automated tests are executed at least daily,
139,process_ci_2,Continuous Integration,"Think about committing code and building software at work. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.",Code commits result in a series of automated tests being run,
140,process_ci_1,Continuous Integration,"Think about committing code and building software at work. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.",Code commits result in an automated build of the software,
138,process_ci_3,Continuous Integration,"Think about committing code and building software at work. For the primary application or service you work on, please rate how strongly you agree or disagree with the following statements.",The application is built automatically at least daily,
346,culture_job_security,Culture,How much do you agree or disagree with the following statement:,Often I worry about my job security,
326,culture_westrum_4,Culture,Think about your organization and rate how strongly you agree or disagree with the following statements. In my organization...,Cross-functional collaboration is encouraged and rewarded,
330,culture_westrum_,Culture,Think about your organization and rate how strongly you agree or disagree with the following statements. In my organization...,Failures are treated primarily as opportunities to improve the system,
329,culture_westrum_1,Culture,Think about your organization and rate how strongly you agree or disagree with the following statements. In my organization...,Information is actively sought,
328,culture_westrum_2,Culture,Think about your organization and rate how strongly you agree or disagree with the following statements. In my organization...,Messengers are not punished when they deliver news of failures or other bad news,
325,culture_westrum_5,Culture,Think about your organization and rate how strongly you agree or disagree with the following statements. In my organization...,New ideas are welcomed,
327,culture_westrum_3,Culture,Think about your organization and rate how strongly you agree or disagree with the following statements. In my organization...,Responsibilities are shared,
339,culture_mitigations_1,Culture,To what extent do you agree or disagree with the following statements?,Engineering tasks are distributed evenly on my team,
336,culture_mitigations_4,Culture,To what extent do you agree or disagree with the following statements?,My team has a formal process to distribute documentation work,
338,culture_mitigations_2,Culture,To what extent do you agree or disagree with the following statements?,My team has a formal process to equitably distribute burdensome tasks / toil,
